,content,summary,pred_relevance
0,"There were 6.4 days suitable for fieldwork during the week ending June 11, according to the USDA’s National Agricultural Statistics Service Indiana Field Office. Statewide, the average temperature was 66.3 degrees, 2.9 degrees below normal. Precipitation averaged 0.14 inches, 0.88 inches below normal. Topsoil moisture supply was rated 29% very short, 42% short, 28% adequate, and 1% surplus. Subsoil moisture supply was rated 24% very short, 42% short, and 34% adequate.

Corn emerged reached 94%, compared to 87% last year, and the five-year average of 82%. Corn condition was rated 3% very poor, 7% poor, 35% fair, 49% good, and 6% excellent. Soybeans emerged reached 90%, compared 78% last year, and the the five-year average of 71%. Soybean condition was rated 4% very poor, 7% poor, 33% fair, 50% good, and 6% excellent.

Winter wheat headed reached 96%, compared to 95% last year, and the five-year average of 94%. Winter wheat mature reached 29%, compared to 13% last year, and the five-year average of 19%. Winter wheat condition was rated 2% very poor, 5% poor, 18% fair, 54% good, and 21% excellent. Alfalfa hay first cutting reached 94%, compared to 71% last year, and the five-year average of 73%.","The USDA's National Agricultural Statistics Service Indiana Field Office reported that there were 6.4 days suitable for fieldwork during the week ending June 11, with the average temperature being 66.3 degrees below normal. Corn emerged at 94%, compared to 87% last year, and the five-year average of 82%. Topsoil moisture supply was rated 29% very short, 42% short, 28% adequate, and 1% surplus. Soybean condition was rated 4% very poor, 7% poor, 35% fair, 49% good, and 6% excellent. Winter wheat headed reached 96%, compared with 95% last season, and winter wheat mature reached 29%. Alfalfa hay first cutting reached 94%.",0
1,"BLOOMINGTON, Ill. — Three finalists have been selected for the inaugural Illinois Leopold Conservation Award.

Given in honor of renowned conservationist Aldo Leopold, the prestigious award is presented in 27 states to farmers, ranchers and forestland owners who inspire others with their dedication to land, water and wildlife habitat in their care.

In Illinois, the award is presented by the Sand County Foundation, national sponsor American Farmland Trust and state partners Illinois Corn and the Illinois Soybean Association.
• Frey Family Farms of Dahlgren in Hamilton County: Dennis and Jackie Frey have planted more than 20,000 trees and wetland areas have been created to refurbish ground water supplies and provide wildlife and beneficial insect pollinator habitat. Cover crops and no-till practices are used on corn and soybean fields to reduce erosion, increase biological activity, sequester carbon and retain moisture. Dennis Frey has served as a member and chairman of the local Soil and Water Conservation District for more than 25 years.
• Rademacher Farms of Gifford in Champaign County: Frank and Eric Rademacher have adopted a crop production system that utilizes no-till practices and roller-crimped cover crops before corn and soybean crops to improve water quality and soil health. High biomass cover crops provide weed control and prevent runoff. The Rademachers provide outreach to other farmers and policymakers to explain how conservation practices allow them to maximize profit while minimizing environmental impact.
• Jean Stewart of Rossville in Vermilion County: Stewart has utilized no-till practices on his farmland for the past 36 growing seasons to improve soil health, prevent erosion and reduce diesel costs. In addition to being an early adopter of cover crops to increase soil fertility, he also grows alfalfa to improve soil health on fields that had long been in a rotation of corn and soybeans. He installed buffer strips and terraces to control soil and water erosion and has served as a drainage district commissioner for 15 years.

“Leopold Conservation Award recipients are examples of how Aldo Leopold’s land ethic is alive and well today. Their dedication to conservation shows how individuals can improve the health of the land while producing food and fiber,” said Kevin McAleese, Sand County Foundation president and CEO.

The award recipient will be revealed at the Farm Progress Show in Decatur in August. The recipient receives $10,000, and his conservation success story will be featured in a video and in other outreach.

“We are living in a new time in U.S. history when climate-smart agriculture and protecting our natural resources is a high priority and an important topic of discussion,” said Steve Pitstick, Illinois Soybean Association chairman.

“It’s wonderful to be able to recognize farmers that are going above and beyond, paving new roads and setting a higher bar for future conservation efforts. The excitement for this award will build on itself, year after year, and we can’t wait to be a part of that.”

Earlier this year, owners of Illinois farmland and forests were encouraged to apply, or be nominated, for the award. Applications were reviewed by an independent panel of agricultural and conservation leaders.

“As the national sponsor for Sand County Foundation’s Leopold Conservation Award, American Farmland Trust celebrates the hard work and dedication of farmers, ranchers and forestland owners,” said John Piotti, AFT president and CEO.

“At AFT, we believe that conservation in agriculture requires a focus on the land, the practices and the people and this award recognizes the integral role of all three.”

The Illinois Leopold Conservation Award is made possible through the support of AFT, Illinois Corn, Illinois Soybean Association, Sand County Foundation, Haglund Ecology Fund, Farm Credit Illinois, American Farmland Trust of Illinois, Association of Illinois Water and Soil Conservation Districts, Illinois Department of Agriculture, Illinois Sustainable Ag Partnership, The Nature Conservancy and the USDA Natural Resources Conservation Service of Illinois.

“Illinois Corn is proud to be part of this important farmer recognition opportunity. We were so impressed with the quality of the applicants and felt good about the effort and time that is going into implementing conservation practices around Illinois,” said Jim Reed, Illinois Corn Marketing Board chairman.

“The passion for conservation and the desire to leave a family farm and a legacy of investment in the earth for the next generation of farmers floated off the pages of these applications.”","The inaugural Illinois Leopold Conservation Award is presented in 27 states to farmers, ranchers and forestland owners who commit their dedication to land, water and wildlife habitat in their care. Three finalists have been selected for the award, including Dennis Frey, Jean Stewart, Eric Rademacher, and Jean Stewart. The recipient will receive $10,000 and will be featured in a video and in other outreach. The award is made possible through the support of AFT, Illinois Corn, Illinois Soybean Association, Sand County Foundation, and American Farmland Trust.",0
2,"KUALA LUMPUR, June 19 (Reuters) - Malaysian palm oil futures eased on Monday after surging 6% in the previous session, although concerns over dry weather taking a toll on global production of palm and soybeans kept the contract near six-week highs.

The benchmark palm oil contract FCPOc3 for September delivery on the Bursa Malaysia Derivatives Exchange slid 9 ringgit, or 0.24%, to 3,734 ringgit ($808.75) per metric ton during early trade.

* Global oil prices fell on Monday, backing off last week's gains as questions over China's economy outweighed OPEC+ output cuts and the seventh straight drop in the number of oil and gas rigs operating in the United States. O/R

* Chicago soybean futures extended gains on Friday to hit their highest in nearly six weeks, as signs of a worsening drought in the U.S. Midwest heightened crop concerns while oilseed crushing data suggested brisk demand.

* Soyoil prices on the Chicago Board of Trade BOcv1 were closed for a public holiday. Dalian's most-active soyoil contract DBYcv1 rose 1.5%, while its palm oil contract DCPcv1 gained 2.1%.

* Palm oil is affected by price movements in related oils as they compete for a share in the global vegetable oils market.

* Palm oil may retest a resistance at 3,791 ringgit per metric ton, driven by a powerful wave c, Reuters technical analyst Wang Tao said. TECH/C

* Asian shares started cautiously on Monday after their best weekly run in five months, as investors looked ahead to China's rate decision and U.S. Federal Reserve Chair Jerome Powell's testimonies for clues on the path ahead. MKTS/GLOB","Malian palm oil futures eased on Monday, but weather concerns continued to dampen the contract's 6% surge in the previous session. Global oil prices fell on Monday due to OPEC+ output cuts and the seventh straight drop in the number of oil and gas rigs operating in the United States. O/R/R extended gains on Friday to hit their highest in nearly six weeks, as signs of a worsening drought in the U.S. Midwest heightened crop concerns while oilseed crushing data suggested brisk demand. Asian shares started cautiously on Monday after their best weekly run in five months, as investors looked ahead to China's rate decision and U.N. Federal Reserve Chair Jerome Powell's testimonies for clues on the path ahead.",0
3,"Grains continue to stay in the green. Friday, June 16, 2023

The grain markets continue to rally sharply higher with new crop corn and soybeans leading the charge higher.

Many traders look for the USDA Crop Progress report on Tuesday to take conditions down by 2-3% and that will also result in private analysts taking the projected corn and soybean yields lower. I have thought from day one that the USDA corn and soybean yield forecasts are unrealistic, says analyst Al Kluis.

On my charts this is a key two-week time period to watch for a possible, high. I am not willing to put on more hedges but will keep buying puts. It is dangerous to get bullish at this time of year, says Kluis.

In the outside markets. The stock market is higher again today in orderly trade with the Dow up 162 points. The US dollar is up 25 points today. Crude oil is now up 40 ¢ per barrel.

At this time July corn is up 4 ¢, with December up 9 ¢, July soybeans are now 28 ¢ higher with November soybeans up 39 ¢. Wheat futures are 217 to 24 ¢ per bushel higher.

Livestock futures are mixed this morning. August feeder cattle are up $1.37 at $235.50 August live cattle are up 55 ¢ at $171.67. July lean hogs are up $1.02 at $92.95.

The grain markets continue to move higher on dry weather forecasts and anticipation that private yield projections will move lower again next week.

Adding to the buying was the report that an estimated 57% of U.S. corn is in drought as of June 13. This is up 12% from last week and 26% from three weeks ago. The soybean area impacted is estimated at 51% up 12% from last week and compares to 9% last year.

Livestock futures are mixed this morning. July hogs are $1.15 higher, August live cattle are up 35 ¢, and August feeder cattle are 45 ¢ lower.

On the Dalian Commodity Exchange in China corn and soybean futures are higher. The grain futures market in Europe wheat is 15 ¢ per bushel higher at $7.90

At this time in grain markets corn futures are July corn is up 10 ¢ with December up 16 ¢, soybean futures are 25 to 38 ¢ higher and wheat futures are 20 to 26 ¢ higher.

Around the world in the stock markets, the stock market in China is up 0.6% and in Japan the stock market is up 0.7%. European stocks are up 1.3%.

In the outside U.S. markets this morning with the Dow futures now up 258 points. Crude oil is down 10¢ per barrel while RBOB gasoline futures and diesel futures are down 1¢ per gallon.","Friday, June 16, 2023 is a key two-week period to watch for a possible, high. The US dollar is up 25 points today and the stock market is higher again in orderly trade with the Dow up 162 points. The grain markets continue to move higher on dry weather forecasts and anticipation that private yield projections will move lower again next week. An estimated 57% of U.S. corn is in drought as of June 13, and an estimated 51% up 12% from last week and compares to 9% last year. Around the world in the stock markets, the stock Market in China is up 0.6% and in Japan the stockMarket is up 1.7%.",0
4,"Indonesian prosecutors name three palm oil groups suspects in corruption case

Indonesia’s attorney general’s office has named three palm oil companies as suspects in a corruption investigation, alleging misconduct in obtaining export permits at a time when shipments were being restricted.

The investigation comes after Indonesia’s Supreme Court last month upheld a lower court’s jailing of executives at those companies for manipulating documents or submitting false data to obtain export permits.

Indonesia, which accounts for about 60% of the global palm oil supply, imposed tight export measures last year, including a three-week ban on shipments, to try to secure domestic supply to rein in soaring local cooking oil prices.

Prosecutors said the executives’ actions were on behalf of their companies, Singapore-based Wilmar Group and Musim Mas Group and Medan-based Permata Hijau Group and an investigation into the firms sought to recover state losses.

“Those three companies must be held responsible,” Ketut Sumedana, spokesperson for the attorney general’s office, said in a statement issued on Thursday (June 15).

Musim Mas Group on Friday said it respected legal proceedings and fully cooperated with the authorities. Wilmar Group said no official charges had been filed and the company had sought clarity on the issue.

A senior Indonesian trade ministry official has also been jailed in the case for abuse of power.","Indonesian prosecutors have named three palm oil groups suspects in a corruption investigation, alleging misconduct in obtaining export permits at a time when shipments were being restricted. The investigation comes after Indonesia’s Supreme Court upheld a lower court’�s jailing of executives at those companies for manipulating documents or submitting false data to obtain export permits. The executives’ actions were on behalf of their companies, and an investigation into the firms sought to recover state losses. A senior Indonesian trade ministry official has also been jailed in the case for abuse of power. Wilmar Group said no official charges had been filed and the company had sought clarity on the issue.",0
5,"Ukraine’s Kernel to open new $200 mln oil extraction plant in early 2024

Kernel, one of Ukraine’s largest agribusiness groups, is close to completing the construction of the Starokonstantinov oil extraction plant in the Khmelnitsky region, investment in which has already exceeded $200 million, Ukrainian media reported, citing a statement on the company’s website.

The plant, one of the largest in Europe, is 85% finished and the start-up and commissioning of the production line is scheduled for the beginning of 2024, the company said.

The plant will have capacity to process 1 million tonnes of sunflower seeds annually and produce unrefined pressed sunflower oil. In order to optimize processes, production will be fully automated. The company has installed equipment from Switzerland’s Buhler, Spain’s Sigma and Ukraine’s KMZ Industries.

The elevator will begin receiving sunflower seeds from the new harvest this fall.

Kernel CEO Yevgeny Osipov said the Starokonstantinov plant is the group’s eighth oil extraction plant and the first that the group is building in western Ukraine.

“By investing in the construction of a processing asset, we are stimulating local farmers to increase production of oil crops, showing them that they will have guaranteed sales in future,” Osipov was quoted as saying by the company’s press service.

The company also said that a thermal power plant has been built on plant property. Its solid fuel boiler will burn sunflower seed husks and produce steam for the plant. The project also includes the construction of treatment facilities.","Ukraine's Kernel is close to completing the construction of the Starokonstantinov oil extraction plant in the Khmelnitsky region, with an investment of $200 million. The plant is 85% finished and the start-up and commissioning of the production line is scheduled for the beginning of 2024. It will have capacity to process 1 million tonnes of sunflower seeds annually and produce unrefined pressed sunflower oil. The company has installed equipment from Switzerland, Spain, Sigma and Ukraine’s KMZ Industries, and a thermal power plant has been built on plant property.",0
6,"Australia exported 354,998 tonnes of canola in April, down 46 percent from the 660,700t shipped in May, according to the latest data from the Australian Bureau of Statistics.

Germany on 166,600t was the largest-volume destination for April shipments, followed by Japan on 70,311t and the United Arab Emirates on 55,000t.

According to Lachstock Consulting’s June 6 Australian Export Vessel Lineups report, 400,000t is on the stem for export this month.

ABARES this month released its initial estimate for the canola crop now in the ground at 4.9 million tonnes (Mt), down 41 percent from the record 2022-23 crop of 8.3Mt.

Crop conditions for the major growing areas in Victoria, New South Wales and Western Australia are generally good to very good.

WA conditions were outlined in the Grain Industry Association of WA report released June 9, which pegs WA new-crop production at 1.8Mt, down from the record 4.3Mt produced in 2022-23.","Australia exported 354,998 tonnes of canola in April, down 46 percent from the 660,700t shipped in May, according to the latest data from the Australian Bureau of Statistics. Germany was the largest-volume destination for April shipments, followed by Japan on 70,311t and the United Arab Emirates on 55,000t. According to a June 6 Australian Export Vessel Lineups report, 400,000T is on the stem for export this month. WA new-crop production is 1.8Mt, down from the record 4.3Mt produced in 2022-23, and is now 4.9 million tonnes (Mt).",1
7,"In their June Crop Report, Conab increased the 2022/23 Brazil soybean estimate 0.92 million tons to 155.73 million. The 2022/23 Brazil corn estimate was increased 0.18 million tons to 125.71 million.

Soybean acreage in Brazil was increased 200,000 hectares from last month to 44.03 million hectares (108.7 million acres). The 2022/23 Brazil soybean acreage continues to increase and it is now 6.1% greater than 2021/22. The nationwide soybean yield is estimated at 3,537 kg/ha (52.7 bu/ac). The Brazil soybean production is up 24% or 30.1 million tons compared to 2021/22.

Brazil’s total 2022/23 corn production is now estimated at 125.7 million tons, which is up 11.1% or 12.6 million tons comparted to last year.

Brazil’s safrinha corn acreage increased 140,000 hectares from last month to 17.07 million hectares (42.1 million acres) and it is now 4.3% larger compared to last year. The safrinha corn yield is 5,640 kg/ha (89.6 bu/ac), which is down 0.5 bu/ac compared to last month.

Brazil’s first corn crop is 27.07 million tons or 21.5% of Brazil’s total corn production. The safrinha crop is 96.30 million tons or 76.7% of the total and the third crop is 2.32 million tons or 1.8% of the total.","Conab increased the 2022/23 Brazil soybean estimate from 0.92 million tons to 155.73 million in their June Crop Report. Soybean acreage in Brazil has increased 200,000 hectares from last month to 44.03 million hectares (108.7 million acres). Brazil’s safrinha corn acreage has increased 140,000 and is now 4.3% larger compared to last year. Brazil's first corn crop is 27.07 million tons or 21.5% of the total and the third crop is 2.32 million tons.",0
8,"The first semester is coming to an end, and the scenario remains difficult for Brazilian pig farming, with weak prices for both live pigs and carcass. However, there are two positive factors at the moment: the strong pace of pork exports and the decline in the cost of animal nutrition. As for the cost, the scenario is more favorable due to the inversion of the cycle of the main feedstuff components. The Brazilian soybean crop was excellent, and there is the outlook for a large corn second crop entering the market in the second half of the year and good soybean and corn crops in the United States, barring a good climate evolution over the next few weeks.

Brazilian pork exports show a strong performance in this first semester but not enough to create a favorable environment for prices along the chain, that is, there is still great pork availability in the Brazilian market. Brazilian pork production is high, and adjustments are necessary for the market to find a balance point. Domestic demand is still unstable, a scenario that tends to last in the coming few weeks, considering that chicken and beef cuts are negatively biased, also suffering from oversupply. It is worth noting that pork occupies the third place in the preference of Brazilians, and this scenario of generalized surplus supply tends to suffer with the choice of consumers at the final end.

In the month, Brazil exported 99.459 thousand tons (fresh + industrialized), with an average price per ton of USD 2,502.08 and total revenue of USD 248.855 mln. The price per ton is the first highlight, reaching the highest level of the year, driven by the increase in prices paid by China, Hong Kong, Singapore, Chile, and the Philippines. The second point that draws attention is that China is acting in a more cautious way toward imports, and even so monthly results are coming strong. Brazil has been able to diversify shipments and open new markets, which is positive and can mitigate any future risk.

China is still the biggest importer, with 32.976 thousand tons in May, accounting for 33.16% of the volume. However, the country already acts more timidly in purchases, which is natural, as the Chinese market has been in crisis, relying on pork oversupply. May had the second-lowest volume shipped to China in the last 12 months.

A point worth noting is that the Chinese currency is currently undergoing a devaluation process, surpassing 7.10 yuan per dollar, a factor that makes imports more expensive and could lead the country to act more harshly in purchases over the coming few weeks.

The second-largest importer in May was the Philippines, with 9.486 thousand tons, corresponding to a share of 9.54%. The country still has a supply deficit caused by African swine fever, and the recovery of production is slower compared to China, for example, considering the country’s lower financial power. Throughout the semester, the Philippines are advancing both in terms of volume and price paid per ton. In March, the average price paid by the country was USD 2,305.88, against USD 2,648.35 registered in May, an increase of 14.85%.

The third-largest importer in May was Hong Kong, with 8.810 thousand tons and a share of 8.86%, and the fourth place was Chile, with 6.896 thousand tons and a share of 6.93%.

With the May data, the volume of pork exported by Brazil totaled 472.0 thousand tons in the first 5 months of 2023, an increase of 16.13% over the 406.5 thousand tons registered in the same period last year. Revenue up to May hit USD 1.138 bln, an increase of 29.17% over the USD 881.041 mln registered in the same period last year.","Brazilian pork exports remain strong, reaching 99,459 thousand tons in May, despite weak prices for both live pigs and carcass. This is due to the strong pace of exports and the decline in the cost of animal nutrition, as well as the inversion of the cycle of the main feedstuff components. Domestic demand is still unstable, and China is acting in a more cautious way toward imports. Brazil has been able to diversify shipments and open new markets, which is positive and can mitigate any future risk. The second-largest importer in May was the Philippines, with 9.486 thousand tons and a share of 9.54%.",0
9,"Rapeseed production in Australia in the season 2023/24 may decrease by 41% – down to 4.9 million tons. Such forecast was announced by analysts of the National Bureau of Agriculture and Resource Economics (ABARES). According to experts, the drought in some regions of the country “will end the series of three consecutive record harvests”.

According to the German agricultural agency Agrarmarkt Informations-Gesellschaft mbH (AMI), there are two main reasons for this sharp decline: firstly, lower oilseed yields due to the expected El Niño weather phenomenon, and secondly, a partial reduction in the area under the crop.

AMI experts also noted that high harvests in recent years have led to overstocking of storage capacity and, as a result, problems with the quality of oilseeds.

“Nevertheless, the prospects of high profitability served as a sufficient incentive for rapeseed producers, as a result of which only low-yield lands in arid areas were withdrawn from crop rotation,” the agency added.","Australia has forecast a 41% drop in rapeseed production in the season 2023/24, down from 4.9 million tons due to the drought in some regions. This is due to lower oilseed yields due to El Niño weather phenomenon, and partial reduction in the area under the crop. High harvests in recent years have led to overstocking of storage capacity and, as a result, problems with the quality of oilseeds. The prospects of high profitability served as a sufficient incentive for rapeseed producers, and only low-yield lands in arid areas were withdrawn from crop rotation.",1
